China,220.23,191.91,582.24,141.1,115.65,92.27,74.55,61.6,51.56,44.48,35.71,26.09,18.7,13.16
Colombia,178.3,154.19,134.43,110.79,94.01,77.77,58.14,48.58,36.93,32.91,28.19,24.48,20.23,15.61
Comoros,304.8,289.94,273.15,246.68,220.06,198.16,177.06,149.67,128.67,112.55,102.08,82.71,69.45,50.19
Congo,259.16,254.44,238.2,217.47,196.02,166.9,134.83,106.05,103.95,110.01,114.24,96.57,76.78,59.9
Costa Rica,146.44,128.25,99.47,98.67,86.19,50.2,26.54,24.52,18.95,16.8,13.8,11.95,11.67,8.8
Cote d'Ivoire,344.78,328.85,301.99,273.24,242.39,209.3,179.24,167.73,162.77,164.2,150.98,138.92,121.35,94.67
Croatia,165.12,129.98,81.28,60.65,45.48,32.33,23.63,19.67,13.61,12.06,9.02,7.17,5.73,4.59
Cuba,70.84,62.01,50.66,48.21,47.34,33.27,25.7,23.3,15.02,13.45,9.62,8.26,6.67,5.71
Cyprus,94.29,84.17,72.67,61.63,52.12,45.01,30.3,20.75,15.43,11.93,7.77,5.41,4.09,3.2
Czech Republic,81.27,36.88,27.22,30.49,27,24.59,21.06,16.44,13.73,9.76,5.87,4.8,3.86,3.26
Democratic Republic of Congo,271.72,258.69,245.46,234.5,216.93,203.32,191.01,173.96,166.87,166.47,159.02,139.21,120.47,87.31
Denmark,41.1,33.62,29.44,25.35,19.46,14.4,11.61,10.84,10.3,7.09,6.14,5.46,4.24,4.05
Djibouti,182.84,175.12,166.55,158.63,150.26,138.7,131.4,128.94,122.61,117.59,108.34,89.31,72.34,48.82
Dominica,260.26,208.77,157.87,106.81,71.64,43.36,26.69,22.27,20.78,20.94,21.29,23.08,27.97,33.36
Dominican Republic,214.52,191.83,186.19,162.05,137.45,115.61,96.36,82.32,70.47,55.73,46.14,42.44,36.38,33.13
East Asia,218.45,189.01,562.4,138.35,113.45,90.38,72.78,60.42,50.71,45.65,37.49,26.1,18.84,13.24
Eastern Europe,73.86,67.25,54.41,39.57,35.36,34.71,32.41,28.74,23.49,23.78,20.82,15.52,11.31,8.75
Eastern Sub-Saharan Africa,305.61,286.93,271.32,255.8,239.37,226,209.94,198.27,183.26,166.63,143.11,114.55,92.97,68.32
Ecuador,223.84,197.13,176.23,153.57,140.18,110.67,92.5,62.22,44.74,38.08,37.44,30.37,24.9,19.01
